population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,6,Incidence,1,Global,1,Male,234,75+ years,393,Sexually transmitted infections excluding HIV,3,Rate,2003,0.00071710051,0.00138244622,0.00033795123
1,All Population,6,Incidence,1,Global,2,Female,234,75+ years,393,Sexually transmitted infections excluding HIV,3,Rate,2003,0.00038229563,0.00054737143,0.0002322661
1,All Population,6,Incidence,1,Global,1,Male,8,15-19 years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,5506.24506724491,8006.0204348935695,3776.49484136741
1,All Population,6,Incidence,1,Global,2,Female,8,15-19 years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,6374.7432769568995,8198.034906634059,4972.94899356875
1,All Population,6,Incidence,1,Global,1,Male,9,20-24 years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,15511.284940795538,21332.238098274207,10590.69915658978
1,All Population,6,Incidence,1,Global,2,Female,9,20-24 years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,14853.13089262103,19473.11242387381,11559.42892211507
1,All Population,6,Incidence,1,Global,1,Male,10,25-29 years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,20364.823443224937,27803.11547048008,14027.22603089937
1,All Population,6,Incidence,1,Global,2,Female,10,25-29 years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,15848.86207310062,20341.18715890954,12085.84624683455
1,All Population,6,Incidence,1,Global,1,Male,11,30-34 years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,15351.677553588592,21653.75545489412,10537.14548908273
1,All Population,6,Incidence,1,Global,2,Female,11,30-34 years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,9852.75602370516,12619.87287124539,7908.89086655482
1,All Population,6,Incidence,1,Global,1,Male,12,35-39 years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,7452.02762290071,10438.54854286292,5091.40887734367
1,All Population,6,Incidence,1,Global,2,Female,12,35-39 years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,4570.65661997802,5511.419794903421,3823.96225927503
1,All Population,6,Incidence,1,Global,1,Male,13,40-44 years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,2770.9914479555,4114.3062759576205,1819.80449980196
1,All Population,6,Incidence,1,Global,2,Female,13,40-44 years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,1627.7463728116797,1878.40024384784,1392.3630746387998
1,All Population,6,Incidence,1,Global,1,Male,39,0-14 years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,248.99628704184002,339.08627424572,190.90415379059
1,All Population,6,Incidence,1,Global,2,Female,39,0-14 years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,346.07211146796,418.46189298623,276.96462379374
1,All Population,6,Incidence,1,Global,1,Male,41,50-74 years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,720.28592894733,1158.9564087007,435.3908458089
1,All Population,6,Incidence,1,Global,2,Female,41,50-74 years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,390.23116146709,463.58423446885,330.44747604437003
1,All Population,6,Incidence,1,Global,1,Male,234,75+ years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,0.00071855106,0.0013887063499999999,0.000336124
1,All Population,6,Incidence,1,Global,2,Female,234,75+ years,393,Sexually transmitted infections excluding HIV,3,Rate,2005,0.00038154574,0.0005575267200000001,0.00023217911
1,All Population,6,Incidence,1,Global,1,Male,8,15-19 years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,5587.8649933666,8174.203725552349,3846.0021211985004
1,All Population,6,Incidence,1,Global,2,Female,8,15-19 years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,6473.5705754602595,8350.143464758079,5036.02771961197
1,All Population,6,Incidence,1,Global,1,Male,9,20-24 years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,15590.659481210989,21378.3370943033,10625.470247814459
1,All Population,6,Incidence,1,Global,2,Female,9,20-24 years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,14950.43310148775,19627.88463216501,11643.83553454319
1,All Population,6,Incidence,1,Global,1,Male,10,25-29 years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,20385.75135582545,27883.268965459567,14036.777926533769
1,All Population,6,Incidence,1,Global,2,Female,10,25-29 years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,16002.81083590335,20582.068891919513,12156.80136438513
1,All Population,6,Incidence,1,Global,1,Male,11,30-34 years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,15385.776767879112,21670.47510725949,10574.24997322735
1,All Population,6,Incidence,1,Global,2,Female,11,30-34 years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,9927.516331430781,12691.05210096567,7976.316772823639
1,All Population,6,Incidence,1,Global,1,Male,12,35-39 years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,7499.80273017231,10541.22948906532,5113.88334158391
1,All Population,6,Incidence,1,Global,2,Female,12,35-39 years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,4600.80048131697,5547.05791104164,3833.3793563494296
1,All Population,6,Incidence,1,Global,1,Male,13,40-44 years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,2821.4682831987,4179.4228084180795,1844.7880199157
1,All Population,6,Incidence,1,Global,2,Female,13,40-44 years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,1654.8588645652299,1912.41202028677,1414.00321165598
1,All Population,6,Incidence,1,Global,1,Male,39,0-14 years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,247.37797228635,338.11274069938,189.25077975929
1,All Population,6,Incidence,1,Global,2,Female,39,0-14 years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,344.86288920210995,419.39339598929,274.58249419954996
1,All Population,6,Incidence,1,Global,1,Male,41,50-74 years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,729.08831636635,1172.21994853926,441.71824533755995
1,All Population,6,Incidence,1,Global,2,Female,41,50-74 years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,395.2520693794,467.69323163332,334.53670105096
1,All Population,6,Incidence,1,Global,1,Male,234,75+ years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,0.0006990981200000001,0.0013657201100000002,0.00032555406
1,All Population,6,Incidence,1,Global,2,Female,234,75+ years,393,Sexually transmitted infections excluding HIV,3,Rate,2007,0.00037266489,0.00054109666,0.00022612773
1,All Population,6,Incidence,1,Global,1,Male,8,15-19 years,393,Sexually transmitted infections excluding HIV,3,Rate,2009,5683.82055315738,8369.76937310174,3926.30169491696
1,All Population,6,Incidence,1,Global,2,Female,8,15-19 years,393,Sexually transmitted infections excluding HIV,3,Rate,2009,6614.2740082213,8523.863905849561,5141.8271664228005
1,All Population,6,Incidence,1,Global,1,Male,9,20-24 years,393,Sexually transmitted infections excluding HIV,3,Rate,2009,15753.14038354772,21581.46393556025,10693.46229510241
1,All Population,6,Incidence,1,Global,2,Female,9,20-24 years,393,Sexually transmitted infections excluding HIV,3,Rate,2009,15147.84783729809,19921.81024976715,11786.264540953991
